IP,packets,total_bytes,threat_level
156.59.127.194,369,136410,High
192.168.32.32,369,136410,High
192.168.32.209,24,17624,Medium
239.242.6.7,18,16164,Medium
192.168.32.172,10,3090,Low
fe80::c8f1:b5ff:fe7f:95c2,10,3310,Low
224.0.0.251,10,3551,Low
ff02::fb,10,3751,Low
239.255.255.250,4,848,Low
ff02::16,2,180,Low
224.0.0.22,2,120,Low
MicroStarINT_65:50:f4,2,102,Low
XiaomiMobile_a0:7c:bf,2,102,Low
192.168.32.118,1,290,Low
192.168.32.66,1,291,Low
192.168.32.255,1,306,Low
255.255.255.255,1,306,Low
fe80::3442:1cff:fe1e:69be,1,310,Low
fe80::c88d:dbff:fe00:d6a,1,311,Low
